WP_072310772.1	100.0	0.0
WP_072007892.1	73.4	0.0
WP_072133790.1	73.4	0.0
KEN43158.1	73.9	0.0
WP_077815454.1	73.9	0.0
WP_141031761.1	73.2	0.0
EGO4375892.1	73.3	0.0
EET6377530.1	100.0	0.0
EEW6022508.1	100.0	0.0
EGO4468533.1	74.0	0.0
EEZ6660134.1	73.9	0.0
EEY4042557.1	74.6	0.0
PBO11778.1	50.1	0.0
WP_170946485.1	50.1	0.0
BCH49244.1	72.3	0.0
EFO4519495.1	81.1	0.0
EGK3604612.1	75.8	1e-37
MBQ6766575.1	33.5	3.0
NQZ80378.1	37.9	3.2
WP_010854168.1	26.5	4.3
GEX48718.1	29.3	8.9
ACD37026.1	100.0	0.0
WP_130259992.1	99.5	0.0
WP_088238517.1	99.2	0.0
WP_166429301.1	99.5	0.0
EGD8570544.1	94.5	0.0
WP_110870355.1	60.9	0.0
EGD9537287.1	99.5	0.0
WP_181669008.1	47.4	0.0
WP_104918471.1	47.2	0.0
HAM4658991.1	49.1	0.0
WP_047661403.1	49.1	0.0
EES5416646.1	49.1	0.0
WP_218074406.1	49.1	0.0
WP_181667662.1	50.5	0.0
EFF0269746.1	49.1	0.0
HAH9719369.1	48.9	0.0
WP_096933632.1	48.6	0.0
WP_185090531.1	52.4	0.0
WP_205066171.1	48.1	0.0
WP_201488688.1	48.9	0.0
WP_123334932.1	48.1	0.0
WP_192975862.1	49.1	0.0
RXG03868.1	48.7	0.0
WP_050871167.1	48.7	0.0
WP_062938497.1	48.4	0.0
WP_119938544.1	47.5	0.0
MIA78463.1	49.0	0.0
HBD0133475.1	53.5	0.0
RDY36324.1	53.5	0.0
EFC7370524.1	99.2	0.0
EHA7602760.1	48.8	0.0
WP_040079953.1	52.9	0.0
MBK4285105.1	46.8	0.0
EEZ8981675.1	52.5	0.0
BCM52001.1	54.1	0.0
PBU14543.1	54.5	0.0
EGD9537302.1	99.1	0.0
EFA6306914.1	97.9	0.0
EHH7722481.1	53.4	0.0
EFM1604953.1	54.8	0.0
MBD2800385.1	39.8	2.8026e-45
WP_105059667.1	41.1	7.00005e-41
HAV1913986.1	43.7	2e-36
TGC07796.1	95.6	2e-35
EGW7755818.1	96.8	0.0
EAN8734602.1	96.8	0.0
EGF5292183.1	99.3	0.0
EHP3178668.1	99.0	0.0
EDV9741632.1	99.2	0.0
EFT1530566.1	98.2	0.0
EHM1184762.1	98.2	0.0
EEP5145467.1	98.2	0.0
WP_042307490.1	70.6	0.0
EAW5735634.1	98.4	0.0
EAR5597685.1	98.0	0.0
WP_103771330.1	70.6	0.0
HAM8904139.1	64.3	0.0
HAV9897111.1	64.6	0.0
WP_047644217.1	64.6	0.0
WP_032236675.1	64.6	0.0
WP_061140150.1	64.3	0.0
WP_220710351.1	42.1	1e-09
WP_181811740.1	64.6	0.0
MBJ6911050.1	33.1	1e-35
WP_222860673.1	34.0	6e-36
EFH6986334.1	63.5	0.0
MBS6388219.1	42.7	7e-09
EHY0936294.1	35.5	2e-19
EFC6956967.1	35.6	9e-30
WP_057569691.1	35.5	2e-19
EEW6031871.1	36.0	1e-30
WP_213061476.1	35.9	1e-34
WP_061093158.1	36.1	6e-36
WP_199356043.1	35.7	6e-31
EGK3604451.1	36.4	1e-36
ECJ3925613.1	98.9	0.0
EBP3943292.1	96.0	0.0
QCJ71834.1	40.0	3e-07
MBY7822348.1	30.9	4e-07
WP_186584507.1	31.5	2e-16
WP_025503159.1	30.3	7e-17
WP_137571766.1	41.4	4e-06
WP_154610713.1	36.3	3e-31
EFF9573001.1	67.5	0.0
EFE3484801.1	68.2	0.0
EIQ2201504.1	69.9	0.0
EFH1078881.1	66.4	0.0
WP_157839869.1	40.6	0.0005
WP_219624998.1	39.6	1e-09
EEY3975711.1	38.4	4e-06
MBE3909332.1	29.2	8e-11
WP_158661782.1	37.5	2e-11
MBF0209025.1	36.8	8e-29
NDE89797.1	27.2	0.26
HAM7590243.1	34.3	8e-19
MBM3846617.1	35.9	0.34
EAU2706071.1	100.0	0.0
WP_170791824.1	29.0	0.94
MBO1057642.1	33.9	0.083
MBV2168608.1	31.7	1.5
OCH52735.1	29.0	2.6
MBE6215072.1	32.3	3.3
WP_091605325.1	30.6	3.9
WP_113051678.1	33.7	4.0
EHX5989932.1	35.6	2e-13
WP_214280646.1	35.6	2e-13
WP_092268690.1	35.0	0.007
EEZ8981453.1	37.1	6.9
WP_182259382.1	32.5	7.1
WP_155609304.1	27.9	8.8
WP_213589038.1	27.9	9.2
WP_110974445.1	37.9	0.0
WP_151813787.1	39.4	0.0
WP_201686691.1	35.0	0.0
WP_016722087.1	35.3	2e-10
WP_139102916.1	35.6	0.0
WP_216069997.1	36.9	0.0
WP_143958813.1	36.4	0.0
WP_138928581.1	34.4	0.0
WP_144035963.1	39.3	0.0
WP_200222840.1	36.4	0.0
WP_214228854.1	35.6	0.0
WP_106516769.1	32.0	0.0
WP_032737126.1	32.0	0.0
WP_204136790.1	35.2	0.0
WP_136846819.1	31.7	0.0
WP_211903587.1	32.6	0.0
AXW62273.1	32.6	0.0
WP_072310865.1	31.7	0.0
WP_217047468.1	31.5	0.0
PQH13197.1	38.5	0.0
WP_001572821.1	37.4	0.0
EFN9864706.1	37.5	0.0
WP_197330552.1	32.3	0.0
WP_196764282.1	35.1	0.0
CUV14713.1	36.5	0.0
WP_052234704.1	35.1	0.0
WP_144614985.1	36.4	0.0
WP_085411221.1	36.1	1.4013e-45
WP_039568335.1	32.9	4.2039e-45
WP_184852087.1	32.9	5.60519e-45
WP_098251621.1	36.2	5.60519e-45
CCH02966.1	35.4	5.60519e-45
WP_229044655.1	36.1	1.96182e-44
QHB57270.1	32.6	1.96182e-44
WP_003261233.1	32.6	2.94273e-44
THE41084.1	39.1	4.06377e-44
WP_100991484.1	33.8	7.00649e-44
WP_048635580.1	34.2	2.99878e-43
ABK14751.1	35.0	2.99878e-43
RTR36406.1	34.1	8.00141e-43
WP_164847965.1	37.9	8.00141e-43
WP_170972057.1	34.0	1.99965e-42
MBS1543770.1	33.3	2e-12
WP_175324524.1	36.3	1.99993e-41
WP_130001416.1	37.1	1.99993e-41
WP_066315189.1	35.9	0.0002
WP_217774810.1	36.3	1.99993e-41
ESL85775.1	33.9	3.00004e-41
WP_147515663.1	36.9	4.99997e-41
OKN52652.1	33.6	9.99995e-41
EFA4563760.1	36.6	9.99995e-41
EIK0745399.1	36.6	9.99995e-41
WP_194603525.1	34.9	3e-40
WP_065519200.1	34.0	5e-40
MBD1364359.1	33.5	2e-08
WP_129747938.1	36.3	8e-40
BAZ10903.1	36.4	2e-39
WP_119906732.1	35.5	5e-39
EHU3427301.1	33.1	1e-38
WP_137262131.1	33.4	3e-38
WP_219076819.1	35.1	4e-38
WP_121328863.1	35.5	5e-38
WP_227092401.1	36.4	5e-38
WP_073121390.1	32.3	7e-38
WP_133576014.1	33.7	8e-38
WP_092650100.1	37.2	2e-37
WP_200067659.1	36.3	4e-37
WP_157455803.1	34.9	1e-36
WP_044339933.1	36.7	1e-36
WP_217000147.1	30.8	2e-36
VXA96077.1	34.1	3e-36
WP_144916889.1	34.4	2e-35
ROT20295.1	32.3	2e-35
MCD7924712.1	33.0	1e-34
ROS81167.1	31.8	1e-34
NLN30456.1	31.2	4e-12
WP_157564983.1	36.9	9e-34
WP_160674330.1	35.5	7.0
WP_195443791.1	29.9	5e-33
NMW22219.1	31.1	8e-33
WP_144803716.1	32.5	2e-32
MCC4312986.1	33.5	6e-32
WP_224626522.1	33.9	6e-32
EFD1695456.1	38.7	8e-32
ADV44207.1	32.6	6.1
WP_229132623.1	36.7	4e-30
WP_223533126.1	32.1	5e-30
WP_173003877.1	34.0	6e-28
WP_096687218.1	36.2	8e-28
EFK3198149.1	33.0	8e-28
WP_123639693.1	30.7	2e-27
HCM77991.1	28.9	4e-12
WP_080847751.1	29.1	0.0005
HBP43577.1	32.8	0.16
WP_220316313.1	31.3	5e-26
WP_131534349.1	29.0	9e-26
EFP2242860.1	38.3	3e-25
WP_125704634.1	31.2	4e-25
WP_009038505.1	31.4	4e-25
WP_194112984.1	34.2	6e-25
WP_218485180.1	30.6	7e-25
RYY00570.1	33.2	8e-25
WP_039098596.1	32.3	1e-24
WP_065825360.1	31.1	2.6
NTW72264.1	29.4	4e-24
WP_228864614.1	30.6	5e-24
WP_162624638.1	34.7	7e-06
HCW08374.1	32.4	2e-23
WP_123629584.1	32.3	2e-23
WP_216253788.1	32.1	4e-23
WP_129320261.1	33.7	8e-23
WP_226129163.1	30.4	1e-22
WP_148229841.1	32.6	7.2
WP_114003941.1	31.7	5e-22
RYE14478.1	33.6	6e-07
KHO13166.1	32.1	4e-21
WP_207641503.1	33.3	4e-21
WP_163621647.1	30.1	1e-20
WP_147327980.1	34.9	0.47
WP_164488949.1	37.5	2e-20
WP_139685738.1	29.5	5e-20
WP_175265816.1	37.1	5e-20
WP_065849718.1	31.8	6e-20
WP_081325540.1	31.8	7e-20
WP_076638993.1	30.7	1e-19
MBR1402876.1	31.7	0.55
WP_010992569.1	32.1	1e-19
WP_041258393.1	33.9	2e-18
RJU26346.1	33.1	0.0002
WP_111698518.1	33.4	3e-18
WP_035637400.1	31.0	4e-18
WP_057825141.1	33.6	1.5
WP_075529481.1	31.7	1e-16
WP_060997341.1	29.6	2e-16
